"REF_DATE","GEO","DGUID","Type of motivation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","611","","","","0"
"2015","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","641","","","","0"
"2016","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","666","","","","0"
"2017","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","878","","","","0"
"2018","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","793","","","","0"
"2019","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","884","","","","0"
"2020","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","1619","","","","0"
"2021","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","1745","","","","0"
"2022","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","2002","","","","0"
"2023","Canada, selected police services","2021A000011124","Race or ethnicity","Number","223","units","0","v91706829","1.2","2128","","","","0"
"2013","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","429","","","","0"
"2015","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","469","","","","0"
"2016","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","460","","","","0"
"2017","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","842","","","","0"
"2018","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","657","","","","0"
"2019","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","613","","","","0"
"2020","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","530","","","","0"
"2021","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","886","","","","0"
"2022","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","768","","","","0"
"2023","Canada, selected police services","2021A000011124","Religion","Number","223","units","0","v91706839","1.12","1284","","","","0"
"2013","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","155","","","","0"
"2015","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","141","","","","0"
"2016","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","176","","","","0"
"2017","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","204","","","","0"
"2018","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","186","","","","0"
"2019","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","265","","","","0"
"2020","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","258","","","","0"
"2021","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","438","","","","0"
"2022","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","509","","","","0"
"2023","Canada, selected police services","2021A000011124","Sexual orientation","Number","223","units","0","v91706845","1.18","860","","","","0"
"2013","Canada, selected police services","2021A000011124","Language","Number","223","units","0","v91706851","1.24","","..","","","0"
"2014","Canada, selected police services","2021A000011124","Language","Number","223","units","0","v91706851","1.24","12","","","","0"
"2015","Canada, selected police services","2021A000011124","Language","Number","223","units","0","v91706851","1.24","18","","","","0"
"2016","Canada, selected police services","2021A000011124","Language","Number","223","units","0","v91706851","1.24","13","","","","0"
